time,S,RAMB,RCAS,A,B,E
0.0,10000000.0,0.0,0.0,1.0,0.0,0.0
1.0,9208128.949124472,2.179478356948435,1.494628775588132,1.2,0.0,0.0
2.0,8473060.42641083,3.536742084558944,1.7227361140757358,1.2,0.0,0.0
3.0,7791635.35578178,5.1149737836317355,1.8268016291018125,1.2,0.0,0.0
4.0,7160724.7360279905,5.9430909488818715,1.8715398018581997,1.2,0.0,0.0
5.0,6577256.701809614,7.92208095036007,1.8882980178449018,1.2,0.0,0.0
6.0,6038238.532103741,9.222121372305416,0.0,1.2,0.0,0.0
7.0,5540774.01795109,11.75452524788916,1.42036538535225,1.2,0.0,0.0
8.0,5082076.7944237115,14.715599852498276,0.0,1.2,0.0,0.0
9.0,4659480.023893516,18.18042818783107,0.0,1.2,0.0,0.0
10.0,4270443.012216777,21.227211139567665,0.0,1.2,0.0,0.0
11.0,3912555.1456348575,24.799599617050728,1.074174574229557,1.2,0.0,0.0
12.0,3583537.605359216,28.989329012595146,0.0,1.2,0.0,0.0
13.0,3281243.2481303206,33.90422755545225,0.0,1.2,0.0,0.0
14.0,3003654.958351873,39.67104479672732,0.0,1.2,0.0,0.0
15.0,2748882.8076596544,47.44877854459393,0.0,1.2,0.0,0.0
16.0,2515160.2792976573,55.5653570480068,0.0,1.2,0.0,0.0
17.0,2300839.77268101,65.0939857174966,0.0,1.2,0.0,0.0
18.0,2104387.6213849075,77.29201941616304,0.0,1.2,0.0,0.0
19.0,1924378.7385038987,90.60422627568914,0.0,1.2,0.0,0.0
20.0,1759491.0537414642,106.23891569910113,0.0,1.2,0.0,0.0
21.0,1608499.8526456559,124.60341958569619,0.0,1.2,0.0,0.0
22.0,1470272.1086007277,146.1766705451186,0.0,1.2,0.0,0.0
23.0,134376.0875800553,17.1521799729244,0.0,1.2,0.0,0.0
24.0,122670.4165628275,20.167894074171343,0.0,1.2,0.0,0.0
25.0,111983.29826132643,23.714264330275242,0.0,1.2,0.0,0.0
26.0,102226.29533338903,27.8846984937997,0.0,1.2,0.0,0.0
27.0,93318.6173693433,32.789048547526896,0.0,1.2,0.0,0.0
28.0,85186.46498400527,38.55650583894138,0.0,1.2,0.0,0.0
29.0,77762.42928212887,45.33900593548395,0.0,1.2,0.0,0.0
30.0,70984.94217155178,53.315232942496586,0.0,1.2,0.0,0.0
31.0,64797.773342823544,62.69532882550083,0.0,1.2,0.0,0.0
32.0,59149.57005684957,73.72643185967567,0.0,1.2,0.0,0.0
33.0,53993.436183584265,86.69919018175996,0.0,1.2,0.0,0.0
34.0,49286.54721578578,101.95542211887417,0.0,1.2,0.0,0.0
35.0,44989.79824314714,119.89712519204177,0.0,1.2,0.0,0.0
36.0,41067.48211465773,140.997071235751,0.0,1.2,0.0,0.0
37.0,37486.995241818404,165.81126687500745,0.0,1.2,0.0,0.0
38.0,34218.5687033011,194.99360775907968,0.0,1.2,0.0,0.0
39.0,31235.022503834123,229.31311276114369,0.0,1.2,0.0,0.0
40.0,28511.54101748322,269.6741923376369,0.0,1.2,0.0,0.0
41.0,26025.46780905376,317.1404851903059,0.0,1.2,0.0,0.0
42.0,23756.118177999866,372.9628913922046,0.0,1.2,0.0,0.0
43.0,21684.607907886748,438.61254070063484,0.0,1.2,0.0,0.0
44.0,19793.69683197473,515.8195647940631,0.0,1.2,0.0,0.0
45.0,18067.6459426842,606.6186950561311,0.0,1.2,0.0,0.0
46.0,16492.086880337927,713.402887307521,0.0,1.2,0.0,0.0
47.0,1505.3902735376482,83.89863862803293,0.0,1.2,0.0,0.0
48.0,1374.094653490299,98.67009233739446,0.0,1.2,0.0,0.0
49.0,1254.2501179432713,116.04227444921342,0.0,1.2,0.0,0.0
50.0,1144.857973928523,136.4730814518041,0.0,1.2,0.0,0.0
51.0,1045.0066244200568,160.5010289298252,0.0,1.2,0.0,0.0
52.0,953.8639733774969,188.75944552609843,0.0,1.2,0.0,0.0
53.0,870.6704929756772,221.993165856832,0.0,1.2,0.0,0.0
54.0,794.7328953044447,261.0781623148697,0.0,1.2,0.0,0.0
55.0,725.4183558502709,307.04463313545665,0.0,1.2,0.0,0.0
56.0,662.14924066124,361.10415516664614,0.0,1.2,0.0,0.0
