time,S,RAMB,RCAS,A,B,E
0.0,10000000.0,0.0,0.0,1.0,0.0,0.0
1.0,10157273.926882038,0.0,0.0,1.0,0.0,0.0
2.0,10316737.823936537,0.0,0.0,1.0,0.0,0.0
3.0,10478413.236553838,0.0,0.0,1.0,0.0,0.0
4.0,10642321.63679703,1.01,0.0,1.0,0.0,0.0
5.0,10808484.410231678,1.1533411187181113,0.0,1.0,0.0,0.0
6.0,10976922.850279303,1.3166979780982797,0.0,1.0,0.0,0.0
7.0,11147658.141115837,1.5028134614304491,0.0,1.0,0.0,0.0
8.0,11320711.347440911,1.7147981637606156,1.012473281510312,1.0,0.0,0.0
9.0,11496103.399714386,1.9561784168481602,0.0,1.0,0.0,0.0
10.0,11673855.089662861,2.2309504333456425,0.0,1.0,0.0,0.0
11.0,11853987.048733559,2.5436412275102573,1.1187705182213832,1.0,0.0,0.0
12.0,12036519.73625139,2.899377202666892,0.0,1.0,0.0,0.0
13.0,12221473.43251496,3.3039613599189055,0.0,1.0,0.0,0.0
14.0,12408868.217787506,3.7639600520471963,0.0,1.0,0.0,0.0
15.0,12598723.96130358,4.286800529242117,0.0,1.0,0.0,0.0
16.0,12791060.307792008,4.880880533610834,1.0380104710047011,1.0,0.0,0.0
17.0,12985896.655243644,5.5556911362602435,0.0,1.0,0.0,0.0
18.0,13183252.156723376,6.321955132636883,0.0,1.0,0.0,0.0
19.0,13383145.690308414,8.201781644239906,0.0,1.0,0.0,0.0
20.0,13585595.846281074,9.327460308162369,0.0,1.0,0.0,0.0
21.0,13790620.919291578,10.604424044865777,0.0,1.0,0.0,0.0
22.0,13998238.88225086,12.052511629369851,1.0231201200990638,1.0,0.0,0.0
23.0,14208467.372327583,14.704088954581561,0.0,1.0,0.0,0.0
24.0,14421323.683062904,16.701563653068842,1.2516443582937982,1.0,0.0,0.0
25.0,14636824.739383413,19.974345921091455,0.0,1.0,0.0,0.0
26.0,14854987.08285654,22.67322580993018,0.0,1.0,0.0,0.0
27.0,15075826.856724275,25.728374464772322,0.0,1.0,0.0,0.0
28.0,15299359.784461847,29.18555373695171,1.081358743795912,1.0,0.0,0.0
29.0,15525601.151315268,33.09621544291719,0.0,1.0,0.0,0.0
30.0,15754565.796002606,37.51818225670577,0.0,1.0,0.0,0.0
31.0,15986268.082599012,42.5164050769272,0.0,1.0,0.0,0.0
32.0,16220721.886491476,48.16380675285172,0.0,1.0,0.0,0.0
33.0,16457940.576895066,55.55222077951921,0.0,1.0,0.0,0.0
