time,S,RAMB,RCAS,A,B,E
0.0,10000000.0,0.0,0.0,1.0,0.0,0.0
1.0,10157293.1148832,0.0,0.0,1.0,0.0,0.0
2.0,10316776.73476042,0.0,0.0,1.0,0.0,0.0
3.0,10478472.412303556,0.0,0.0,1.0,0.0,0.0
4.0,10642401.627272682,0.0,0.0,1.0,0.0,0.0
5.0,10808585.774995862,0.0,0.0,1.0,0.0,0.0
6.0,10977046.154882796,1.01,0.0,1.0,0.0,0.0
7.0,11147803.777999649,1.1527817447916522,1.01,1.0,0.0,0.0
8.0,11320879.889459345,1.3154120218319119,0.0,1.0,0.0,0.0
9.0,11496295.432265457,1.5005968017031108,0.0,1.0,0.0,0.0
10.0,11674071.202294847,1.7114026613441176,0.0,1.0,0.0,0.0
11.0,11854227.838534778,1.9513035570205157,0.0,1.0,0.0,0.0
12.0,12036785.81066994,2.2242334874781564,1.034511671316911,1.0,0.0,0.0
13.0,12221765.398277087,2.5346456440030667,0.0,1.0,0.0,0.0
14.0,12409186.69336444,2.8875791829558404,0.0,1.0,0.0,0.0
15.0,12599069.571777647,3.288733975365593,0.0,1.0,0.0,0.0
16.0,12791433.683906127,3.7445547451797427,1.0643012377384227,1.0,0.0,0.0
17.0,12986298.43696019,4.262325459372975,0.0,1.0,0.0,0.0
18.0,13183682.988912813,4.850275397530283,0.0,1.0,0.0,0.0
19.0,13383606.22411341,6.527697946117664,0.0,1.0,0.0,0.0
20.0,13586086.738962002,7.4237213517070115,0.0,1.0,0.0,0.0
21.0,13791142.834204786,8.440179999763503,0.0,1.0,0.0,0.0
22.0,13998792.488399005,9.592869054949814,0.0,1.0,0.0,0.0
23.0,14209053.348253889,10.89959608996167,0.0,1.0,0.0,0.0
24.0,14421942.710578624,12.380428641376739,1.0131751354256076,1.0,0.0,0.0
25.0,14637477.501578482,14.057970892306395,0.0,1.0,0.0,0.0
26.0,14855674.272993144,15.957673369156488,0.0,1.0,0.0,0.0
27.0,15076549.170760324,19.118177902270027,0.0,1.0,0.0,0.0
28.0,15300117.920304874,21.68743519617939,1.0677445860310604,1.0,0.0,0.0
29.0,15526395.813516555,24.593744534952812,0.0,1.0,0.0,0.0
30.0,15755397.69351161,27.88008774669387,0.0,1.0,0.0,0.0
31.0,15987137.928363524,31.59474592215758,0.0,1.0,0.0,0.0
32.0,16221630.397226673,35.79192674749643,0.0,1.0,0.0,0.0
33.0,16458888.472867832,41.542462442413715,0.0,1.0,0.0,0.0
34.0,16698924.996362977,47.02795052712491,0.0,1.0,0.0,0.0
35.0,16941752.271796383,53.21866514310189,0.0,1.0,0.0,0.0
36.0,17187382.03757137,60.20245517270191,0.0,1.0,0.0,0.0
37.0,17435825.450343844,68.07770642672706,0.0,1.0,0.0,0.0
38.0,17687093.066260565,77.96454887987103,0.0,1.0,0.0,0.0
39.0,17941194.818571657,88.0974603447641,0.0,1.0,0.0,0.0
40.0,18198140.008332036,99.50951580746579,1.0102384566280949,1.0,0.0,0.0
