time,S,RAMB,RCAS,A,B,E
0.0,10000000.0,0.0,0.0,2.5,0.0,0.0
1.0,5152638.688106992,1.0,1.0,2.5,0.0,0.0
2.0,2398716.99115425,1.0568633381296277,1.326070558962169,2.5,0.0,0.0
3.0,1058629.5933786216,1.1221351589373336,0.0,2.5,0.0,0.0
4.0,455679.8314421737,1.1940181586353251,1.1161371245285427,2.5,0.0,0.0
5.0,193990.82246742983,1.2717209767169937,0.0,2.5,0.0,0.0
6.0,82193.61441177811,1.355038079420436,0.0,2.5,0.0,0.0
7.0,34754.89514143162,1.4440667757319245,0.0,2.5,0.0,0.0
8.0,14683.22464890539,1.5390591164997103,0.0,2.5,0.0,0.0
9.0,6201.109750533546,1.6403516659345845,0.0,2.5,0.0,0.0
10.0,2618.489626058974,1.7483339357952223,0.0,2.5,0.0,0.0
11.0,1105.615704604024,1.8634349809535484,0.0,2.5,0.0,0.0
12.0,466.8159389650964,1.9861183672836873,0.0,2.5,0.0,0.0
13.0,197.097967077263,2.116881001116806,0.0,2.5,0.0,0.0
14.0,83.21785164210809,2.2562537738231025,0.0,2.5,0.0,0.0
15.0,35.135809469006595,2.4048031013610114,0.0,2.5,0.0,0.0
16.0,14.834846325744525,2.5631329490312393,0.0,2.5,0.0,0.0
17.0,6.263484159781274,2.7318871623113026,0.0,2.5,0.0,0.0
18.0,2.64453224405546,2.9117520289136323,0.0,2.5,0.0,0.0
19.0,1.1165591201837115,3.103459044545271,0.0,2.5,0.0,0.0
20.0,0.0,3.3077878766401154,0.0,2.5,0.0,0.0
21.0,0.0,3.5255695518556056,0.0,2.5,0.0,0.0
22.0,0.0,3.757689769675684,0.0,2.5,0.0,0.0
23.0,0.0,4.005092565935421,0.0,2.5,0.0,0.0
24.0,0.0,4.268784130903456,0.0,2.5,0.0,0.0
25.0,0.0,4.549836901405941,0.0,2.5,0.0,0.0
26.0,0.0,4.8493939224297895,0.0,2.5,0.0,0.0
27.0,0.0,5.168673495888034,0.0,2.5,0.0,0.0
28.0,0.0,5.50897413545368,0.0,2.5,0.0,0.0
29.0,0.0,5.871679847613068,0.0,2.5,0.0,0.0
30.0,0.0,6.258265760416547,0.0,2.5,0.0,0.0
31.0,0.0,6.670304122818242,0.0,2.5,0.0,0.0
32.0,0.0,7.1094706990039,0.0,2.5,0.0,0.0
33.0,0.0,7.577551583712082,0.0,2.5,0.0,0.0
34.0,0.0,8.076450466266122,0.0,2.5,0.0,0.0
35.0,0.0,8.608196372859052,0.0,2.5,0.0,0.0
36.0,0.0,9.174951918578724,0.0,2.5,0.0,0.0
37.0,0.0,9.779022102733396,0.0,2.5,0.0,0.0
38.0,0.0,10.422863683247304,0.0,2.5,0.0,0.0
39.0,0.0,11.109095168250965,0.0,2.5,0.0,0.0
40.0,0.0,11.840507465500853,0.0,2.5,0.0,0.0
41.0,0.0,12.620075232938117,0.0,2.5,0.0,0.0
42.0,0.0,13.450968976547662,0.0,2.5,0.0,0.0
43.0,0.0,14.33656794471769,0.0,2.5,0.0,0.0
44.0,0.0,15.280473871539034,0.0,2.5,0.0,0.0
45.0,0.0,16.286525624935994,0.0,2.5,0.0,0.0
46.0,0.0,17.35881481919976,0.0,2.5,0.0,0.0
47.0,0.0,1.850170245541796,0.0,2.5,0.0,0.0
48.0,0.0,1.9719837676257583,0.0,2.5,0.0,0.0
49.0,0.0,2.10181737898223,0.0,2.5,0.0,0.0
50.0,0.0,2.240199114732869,0.0,2.5,0.0,0.0
51.0,0.0,2.387691775326329,0.0,2.5,0.0,0.0
52.0,0.0,2.5448952154522115,0.0,2.5,0.0,0.0
53.0,0.0,2.712448783654627,0.0,2.5,0.0,0.0
54.0,0.0,2.8910339225671704,0.0,2.5,0.0,0.0
55.0,0.0,3.081376940344494,0.0,2.5,0.0,0.0
56.0,0.0,3.28425196456179,0.0,2.5,0.0,0.0
57.0,0.0,3.500484090595601,0.0,2.5,0.0,0.0
58.0,0.0,3.73095273729042,0.0,2.5,0.0,0.0
59.0,0.0,3.9765952235584163,0.0,2.5,0.0,0.0
60.0,0.0,4.2384105804581855,0.0,2.5,0.0,0.0
