time,S,RAMB,RCAS,A,B,E
0.0,10000000.0,0.0,0.0,0.0,1.5,0.0
1.0,9900187.994556975,1.0,1.0,0.0,1.5,0.0
2.0,9801343.401577987,1.0,1.9929825102731897,0.0,1.5,0.0
3.0,9703457.316682557,0.0,2.9828955827740153,0.0,1.5,0.0
4.0,9606521.008775624,1.0,3.973588618408346,0.0,1.5,0.0
5.0,9510525.81560447,1.0,4.968843572177175,0.0,1.5,0.0
6.0,9415463.143293018,1.0,5.972405264788359,0.0,1.5,0.0
7.0,9321324.465251902,1.0,6.988009910734453,0.0,1.5,0.0
8.0,9228101.322063616,1.0,8.019413202336445,0.0,1.5,0.0
9.0,9135785.321357906,1.0,9.070417879585973,0.0,1.5,0.0
10.0,9044368.137494797,1.0,10.14490116140315,0.0,1.5,0.0
11.0,8953841.511437025,1.0,11.246842336879757,0.0,1.5,0.0
12.0,8864197.250485865,1.0,12.380350808795463,0.0,1.5,0.0
13.0,8775427.226930972,0.0,13.549694977889038,0.0,1.5,0.0
14.0,8687523.378394242,1.0,14.759332363709042,0.0,1.5,0.0
15.0,8600477.707461685,1.0,16.013939847842817,0.0,1.5,0.0
16.0,8514282.282662608,1.0,17.318447979364667,0.0,1.5,0.0
17.0,8428929.236243593,1.0,17.678075031336768,0.0,1.5,0.0
18.0,8344410.764281934,0.0,18.075863120234747,0.0,1.5,0.0
19.0,8260719.126571843,1.0,19.51373195514649,0.0,1.5,0.0
20.0,8177846.647265906,1.0,21.019763446911924,0.0,1.5,0.0
21.0,8095785.712570098,1.0,22.600461608402828,0.0,1.5,0.0
22.0,8014528.771615453,1.0,24.262806018687723,0.0,1.5,0.0
23.0,7934068.335863163,0.0,26.01430510206274,0.0,1.5,0.0
24.0,7854396.978522931,1.0,26.86305440433519,0.0,1.5,0.0
25.0,7775507.334890855,1.0,28.783532667094367,0.0,1.5,0.0
26.0,7697392.101295924,1.0,29.816613641005077,0.0,1.5,0.0
27.0,7620044.034758865,1.0,31.93484897133418,0.0,1.5,0.0
28.0,7543455.953303194,1.0,34.18358956030438,0.0,1.5,0.0
29.0,7467620.734925247,1.0,35.57446697500163,0.0,1.5,0.0
30.0,7392531.317235117,1.0,37.0778782323873,0.0,1.5,0.0
31.0,7318180.697532066,1.0,38.70264358820507,0.0,1.5,0.0
32.0,7244561.932223419,1.0,41.458453755850535,0.0,1.5,0.0
33.0,7171668.136675719,0.0,44.40285566084482,0.0,1.5,0.0
34.0,7099492.484217506,1.0,47.55286308675947,0.0,1.5,0.0
35.0,7028028.206815495,1.0,50.927086687836784,0.0,1.5,0.0
36.0,6957268.593460929,1.0,54.545909795624375,0.0,1.5,0.0
37.0,6887206.990637613,1.0,58.43167422307325,0.0,1.5,0.0
38.0,6817836.801746512,1.0,62.608891589056945,0.0,1.5,0.0
39.0,6749151.486739196,0.0,67.10447742859321,0.0,1.5,0.0
40.0,6681144.561556737,1.0,71.94801319612077,0.0,1.5,0.0
41.0,6613809.598542274,0.0,77.17203110809064,0.0,1.5,0.0
42.0,6547140.224711882,1.0,82.81234747003705,0.0,1.5,0.0
43.0,6481130.122934243,1.0,87.90841203805367,0.0,1.5,0.0
44.0,6415773.03002391,0.0,93.44079010147674,0.0,1.5,0.0
45.0,6351062.737342794,0.0,100.45065629161202,0.0,1.5,0.0
46.0,6286993.090800999,1.0,108.0491932984531,0.0,1.5,0.0
47.0,622355.7989732558,0.0,11.529382924584116,0.0,1.5,0.0
48.0,615973.1044864994,0.0,13.771073960096487,0.0,1.5,0.0
49.0,609655.753986383,0.0,16.450712680201573,0.0,1.5,0.0
50.0,603403.0808600493,0.0,19.65423811219343,0.0,1.5,0.0
51.0,597214.4252469864,0.0,23.48452251568316,0.0,1.5,0.0
52.0,591089.1339736122,0.0,28.064720531754475,0.0,1.5,0.0
53.0,585026.5604868024,0.0,33.54228310564116,0.0,1.5,0.0
54.0,579026.0647881189,0.0,40.09376852779478,0.0,1.5,0.0
55.0,573087.0133687449,0.0,47.9306093935702,0.0,1.5,0.0
56.0,567208.7791451297,0.0,57.30602600694721,0.0,1.5,0.0
57.0,561390.741395358,1.0,68.52331483187011,0.0,1.5,0.0
58.0,555632.2857119194,0.0,81.94578474405272,0.0,1.5,0.0
59.0,549932.8038767094,0.0,98.00867928594757,0.0,1.5,0.0
60.0,544291.6938941564,0.0,117.23345807584245,0.0,1.5,0.0
61.0,538708.3598674487,0.0,140.24493975146348,0.0,1.5,0.0
62.0,533182.2119545904,0.0,167.7918548087009,0.0,1.5,0.0
63.0,527712.6663094718,0.0,200.77149925045939,0.0,1.5,0.0
64.0,522299.1450238346,0.0,240.25930738355103,0.0,1.5,0.0
65.0,516941.0760701869,0.0,287.5443275430327,0.0,1.5,0.0
66.0,511637.89324572467,0.0,344.1717815367015,0.0,1.5,0.0
67.0,506389.03611733776,0.0,411.99412505208625,0.0,1.5,0.0
68.0,501193.9499677912,0.0,493.23231001489745,0.0,1.5,0.0
69.0,496052.0857431911,0.0,590.5492903396103,0.0,1.5,0.0
70.0,490962.9000018607,0.0,707.1382209203302,0.0,1.5,0.0
71.0,485925.8548647848,1.0,846.8282895127163,0.0,1.5,0.0
72.0,480940.4179813708,0.0,1014.211689138566,0.0,1.5,0.0
73.0,476006.0624292411,0.0,1214.7960733626246,0.0,1.5,0.0
74.0,471122.2667524262,1.0,1455.1872975942863,0.0,1.5,0.0
75.0,466288.5148788121,0.0,1743.3088459829976,0.0,1.5,0.0
76.0,461504.2960430124,0.0,2088.6651711014924,0.0,1.5,0.0
77.0,456769.10483091127,0.0,2502.657313453469,0.0,1.5,0.0
78.0,452082.44109582965,0.0,2998.961841096298,0.0,1.5,0.0
79.0,447443.80994549446,0.0,3593.9851800224133,0.0,1.5,0.0
80.0,442852.7217209925,0.0,4307.408457901426,0.0,1.5,0.0
81.0,438308.69198188087,0.0,5162.84068836454,0.0,1.5,0.0
82.0,433811.24149849766,0.0,6188.601589164191,0.0,1.5,0.0
83.0,429359.8962527112,0.0,7418.659388359106,0.0,1.5,0.0
84.0,424954.18744857155,0.0,8893.753749779567,0.0,1.5,0.0
85.0,420593.6515345944,0.0,10662.739541561457,0.0,1.5,0.0
86.0,416277.8302397096,0.0,12784.193678852034,0.0,1.5,0.0
87.0,412006.2706252725,0.0,15328.33478502065,0.0,1.5,0.0
88.0,407778.52515594364,0.0,18379.31400414885,0.0,1.5,0.0
89.0,403594.15179271746,0.0,22037.94498738329,0.0,1.5,0.0
90.0,399452.7141119249,0.0,26424.951817669982,0.0,1.5,0.0
91.0,395353.7814546386,0.0,31684.825258776043,0.0,1.5,0.0
92.0,391296.92911158374,0.0,37990.38984925525,0.0,1.5,0.0
93.0,387281.73854939034,0.0,45548.19635024457,0.0,1.5,0.0
94.0,383307.7976847974,0.0,54604.86480260423,0.0,1.5,0.0
95.0,37937.470121419574,0.0,6545.451122815567,0.0,1.5,0.0
96.0,37547.75400062849,0.0,7908.447381698403,0.0,1.5,0.0
97.0,37162.04250309043,0.0,9555.05532636004,0.0,1.5,0.0
98.0,36780.29481126103,0.0,11544.171423289314,0.0,1.5,0.0
99.0,36402.47058669417,0.0,13946.865182000834,0.0,1.5,0.0
100.0,36028.529976782644,0.0,16848.86786517587,0.0,1.5,0.0
101.0,35658.433623656674,0.0,20353.557306564137,0.0,1.5,0.0
102.0,35292.14267562932,0.0,24585.531837458417,0.0,1.5,0.0
103.0,34929.618801642355,0.0,29695.880986345484,0.0,1.5,0.0
104.0,34570.824210370294,0.0,35863.48313478812,0.0,1.5,0.0
105.0,34215.72166914552,0.0,43306.47717347049,0.0,1.5,0.0
106.0,33864.27453391043,0.0,52285.9699943334,0.0,1.5,0.0
107.0,33516.44678081099,0.0,63115.30721468898,0.0,1.5,0.0
108.0,33172.20304522757,0.0,76169.96600108236,0.0,1.5,0.0
109.0,32831.508668233364,0.0,91899.06461188891,0.0,1.5,0.0
110.0,32494.329751478523,0.0,110838.63181837976,0.0,1.5,0.0
111.0,32160.633221507902,0.0,133626.7285883559,0.0,1.5,0.0
112.0,31830.386904457202,0.0,161020.4222602399,0.0,1.5,0.0
113.0,31503.559611899473,0.0,193914.46153794503,0.0,1.5,0.0
