Simulation_ID,Wild_type,resistant_to_AMB,resistant_to_CAS
0.0,0.0,0.0,1123842.9755162282
1.0,0.0,0.0,1123842.910162813
2.0,0.0,0.0,1123843.986591141
3.0,0.0,0.0,1123843.0058993157
4.0,0.0,0.0,1123842.9513167897
5.0,0.0,0.0,1123842.9599495414
6.0,0.0,1.0,1123843.0179202508
7.0,0.0,0.0,1123843.0302570893
8.0,0.0,0.0,1123843.0161657045
9.0,0.0,0.0,1123843.0153945435
10.0,0.0,0.0,1123842.9940024805
11.0,0.0,0.0,1123842.9451592634
12.0,0.0,0.0,1123843.0275461797
13.0,0.0,1.0,1123842.9873483174
14.0,0.0,0.0,1123843.0105999778
15.0,0.0,0.0,1123843.0153204768
16.0,0.0,0.0,1123843.0168376118
17.0,0.0,0.0,1123843.0062922437
18.0,0.0,0.0,1123843.0086557916
19.0,0.0,0.0,1123843.029611305
20.0,0.0,0.0,1123843.0246506953
21.0,0.0,0.0,1123843.011655959
22.0,0.0,0.0,1123842.9618110457
23.0,0.0,0.0,1123842.934775167
24.0,0.0,1.0,1123843.0103841524
25.0,0.0,0.0,1123842.9594912431
26.0,0.0,1.0,1123842.9872741725
27.0,0.0,0.0,1123843.0034903716
28.0,0.0,0.0,1123842.9950581023
29.0,0.0,1.0,1123843.0084203144
30.0,0.0,0.0,1123843.0138913188
31.0,0.0,0.0,1123842.9568836375
32.0,0.0,0.0,1123844.0286416116
33.0,0.0,0.0,1123842.9861108726
34.0,0.0,0.0,1123842.895911347
35.0,0.0,1.0,1123842.9888066067
36.0,0.0,0.0,1123842.9793361954
37.0,0.0,0.0,1123842.8853592593
38.0,0.0,0.0,1123843.010300893
39.0,0.0,0.0,1123842.9447335652
40.0,0.0,0.0,1123842.9004295454
41.0,0.0,0.0,1123843.8868468767
42.0,0.0,1.0,1123843.0222337982
43.0,0.0,0.0,1123842.9053738103
44.0,0.0,0.0,1123843.0141194828
45.0,0.0,0.0,1123843.0130752586
46.0,0.0,0.0,1123842.9692850308
47.0,0.0,1.0,1123843.0176897482
48.0,0.0,0.0,1123843.010973426
49.0,0.0,0.0,1123842.9419164925
50.0,0.0,0.0,1123842.939990264
51.0,0.0,0.0,1123843.02042214
52.0,0.0,0.0,1123843.9915246381
53.0,0.0,1.0,1123843.0040311138
54.0,0.0,0.0,1123843.0146358293
55.0,0.0,0.0,1123842.9292665394
56.0,0.0,1.0,1123843.833818396
57.0,0.0,0.0,1123842.8904746706
58.0,0.0,0.0,1123842.9174534841
59.0,0.0,0.0,1123843.0099321022
60.0,0.0,0.0,1123843.0143083162
61.0,0.0,0.0,1123843.017267127
62.0,0.0,0.0,1123843.0258304547
63.0,0.0,0.0,1123843.021414541
64.0,0.0,0.0,1123843.0231161178
65.0,0.0,0.0,1123843.0258516863
66.0,0.0,0.0,1123843.0052277488
67.0,0.0,1.0,1123842.932770594
68.0,0.0,0.0,1123843.0163694038
69.0,0.0,0.0,1123843.0068559768
70.0,0.0,0.0,1123843.016821857
71.0,0.0,1.0,1123844.0176681138
72.0,0.0,0.0,1123843.0159066983
73.0,0.0,0.0,1123842.9015381727
74.0,0.0,0.0,1123843.0151182993
75.0,0.0,0.0,1123842.9759503868
76.0,0.0,0.0,1123843.0139102119
77.0,0.0,1.0,1123843.0133382226
78.0,0.0,1.0,1123842.9372701072
79.0,0.0,0.0,1123842.920222946
80.0,0.0,0.0,1123842.960651436
81.0,0.0,0.0,1123844.0167582205
82.0,0.0,0.0,1123843.0183628837
83.0,0.0,0.0,1123843.0194193535
84.0,0.0,0.0,1123842.9527837755
85.0,0.0,0.0,1123842.9478843166
86.0,0.0,0.0,1123842.9727851658
87.0,0.0,0.0,1123842.9907279394
88.0,0.0,0.0,1123843.0207178383
89.0,0.0,0.0,1123843.0226993503
90.0,0.0,0.0,1123844.013696961
91.0,0.0,0.0,1123844.0224889652
92.0,0.0,0.0,1123843.0156454747
93.0,0.0,1.0,1123844.0078201299
94.0,0.0,0.0,1123842.9248502485
95.0,0.0,0.0,1123842.9048356705
96.0,0.0,0.0,1123842.977939645
97.0,0.0,0.0,1123843.0027971135
98.0,0.0,0.0,1123843.0169079346
