time,S,RAMB,RCAS,A,B,E
0.0,10000000.0,0.0,0.0,0.0,1.0,0.0
1.0,9882003.371455163,1.0,0.0,0.0,1.0,0.0
2.0,9765885.022361055,0.0,0.0,0.0,1.0,0.0
3.0,9651603.600361262,0.0,0.0,0.0,1.0,0.0
4.0,9539119.204780448,0.0,0.0,0.0,1.0,0.0
5.0,9428392.990335392,0.0,0.0,0.0,1.0,0.0
6.0,9319387.215469247,0.0,0.0,0.0,1.0,0.0
7.0,9212065.203388562,0.0,0.0,0.0,1.0,0.0
8.0,9106391.304767974,0.0,1.0,0.0,1.0,0.0
9.0,9002330.958042836,0.0,1.1245968504881791,0.0,1.0,0.0
10.0,8899850.365709735,0.0,2.264958748472426,0.0,1.0,0.0
11.0,8798916.747659875,0.0,2.5481276505308714,0.0,1.0,0.0
12.0,8699498.225018622,0.0,2.867227973593431,0.0,1.0,0.0
13.0,8601563.77778891,0.0,3.226875653318102,0.0,1.0,0.0
14.0,8505083.219754998,0.0,3.6322858644106506,0.0,1.0,0.0
15.0,8410027.170625154,0.0,4.0893515216185055,0.0,1.0,0.0
16.0,8316367.029283365,0.0,4.60473214618562,0.0,1.0,0.0
17.0,8224074.948099022,0.0,5.185954476004535,0.0,1.0,0.0
18.0,8133123.808246245,0.0,5.841526382156737,0.0,1.0,0.0
19.0,8043487.195987077,0.0,6.581065863908799,0.0,1.0,0.0
20.0,7955139.379874662,0.0,7.415447131247575,0.0,1.0,0.0
21.0,7868055.288835069,1.0,8.356966053659704,0.0,1.0,0.0
22.0,7782210.487937781,0.0,9.419527542930062,0.0,1.0,0.0
23.0,7697581.170766245,0.0,10.618857898291125,0.0,1.0,0.0
24.0,7614144.120868871,0.0,11.972745200775655,0.0,1.0,0.0
25.0,7531876.705719644,0.0,13.501311839672999,0.0,1.0,0.0
26.0,7450756.855445286,0.0,15.227323221000594,0.0,1.0,0.0
27.0,7370763.045418865,0.0,17.176537602543895,0.0,1.0,0.0
28.0,7291874.279494719,0.0,19.37810254899356,0.0,1.0,0.0
29.0,7214070.073857205,0.0,21.865004257458015,0.0,1.0,0.0
30.0,7137330.441456981,0.0,24.674576846113805,0.0,1.0,0.0
31.0,7061635.877009866,0.0,27.84907965534824,0.0,1.0,0.0
32.0,6986967.342534465,0.0,31.436351696971062,0.0,1.0,0.0
33.0,6913306.253405886,0.0,36.49055362056697,0.0,1.0,0.0
34.0,6840634.461815375,0.0,41.202126492334756,0.0,1.0,0.0
35.0,6768934.252736863,0.0,46.528234012636034,0.0,1.0,0.0
36.0,6698188.322740125,0.0,52.549730781866735,0.0,1.0,0.0
37.0,6628379.770704236,0.0,59.35819040688144,0.0,1.0,0.0
38.0,6559492.086145668,1.0,67.057336043378,0.0,1.0,0.0
39.0,6491509.135318306,0.0,75.76466285551841,0.0,1.0,0.0
40.0,6424415.160871787,0.0,85.61327909263586,0.0,1.0,0.0
41.0,6358194.75545897,0.0,97.75399330409584,0.0,1.0,0.0
42.0,6292832.859342725,0.0,110.48794872548127,0.0,1.0,0.0
43.0,6228314.756127912,0.0,125.8956372256325,0.0,1.0,0.0
44.0,6164626.052510861,0.0,142.32930228514516,0.0,1.0,0.0
45.0,6101752.679715134,0.0,160.92687729401328,0.0,1.0,0.0
46.0,6039680.876796934,0.0,181.97545867609398,0.0,1.0,0.0
