Simulation_ID,Wild_type,resistant_to_AMB,resistant_to_CAS
0.0,0.0,1.0,71732159.56972659
1.0,0.0,1.0,71731997.9320561
2.0,0.0,1.0,71732000.91285375
3.0,0.0,0.0,71732227.46450226
4.0,0.0,0.0,71731365.37766832
5.0,0.0,1.0,71732187.36255348
6.0,0.0,0.0,71732369.64532176
7.0,0.0,1.0,71731465.37387908
8.0,0.0,1.0,71731501.09407352
9.0,0.0,1.0,71732379.762224
10.0,0.0,1.0,71732405.56063893
11.0,0.0,1.0,71732304.50109336
12.0,0.0,0.0,71732097.81172591
13.0,0.0,0.0,71732202.31283425
14.0,0.0,0.0,71731540.62337859
15.0,0.0,0.0,71732218.67869133
16.0,0.0,1.0,71732183.02649693
17.0,0.0,1.0,71731681.46771781
18.0,0.0,1.0,71732287.56188339
19.0,0.0,1.0,71732376.21858613
20.0,0.0,1.0,71732377.42484653
21.0,0.0,1.0,71730640.40200745
22.0,0.0,1.0,71732415.4891685
23.0,0.0,0.0,71732406.64847426
24.0,0.0,1.0,71731557.91646571
25.0,0.0,0.0,71732030.38590346
26.0,0.0,1.0,71702475.3665089
27.0,0.0,0.0,71732323.10420403
28.0,0.0,1.0,71732385.72166502
29.0,0.0,1.0,71732071.45452073
30.0,0.0,1.0,71727693.87251835
31.0,0.0,1.0,71731282.53005268
32.0,0.0,0.0,71730651.53004876
33.0,0.0,1.0,71731990.19809225
34.0,0.0,1.0,71732251.47773436
35.0,0.0,0.0,71732205.8804526
36.0,0.0,1.0,71732033.44954157
37.0,0.0,1.0,71731750.66075666
38.0,0.0,1.0,71732399.19706714
39.0,0.0,0.0,71731121.48647505
40.0,0.0,1.0,71732246.74766333
41.0,0.0,0.0,71727952.34982535
42.0,0.0,0.0,71730713.28109975
43.0,0.0,0.0,71731819.97384664
44.0,0.0,1.0,71732102.70643592
45.0,0.0,1.0,71730946.01005179
46.0,0.0,1.0,71732322.64509082
47.0,0.0,0.0,71732387.48673862
48.0,0.0,1.0,71732310.55045302
49.0,0.0,1.0,71732180.15520214
50.0,0.0,1.0,71718717.4311029
51.0,0.0,1.0,71731889.27486978
52.0,0.0,0.0,0.0
53.0,0.0,0.0,71732297.9280483
54.0,0.0,0.0,71732340.61867091
55.0,0.0,1.0,71732275.70060295
56.0,0.0,1.0,71731937.63493998
57.0,0.0,1.0,71723511.26909734
58.0,0.0,1.0,71732116.6902883
59.0,0.0,1.0,71732438.72818707
60.0,0.0,1.0,71731471.00435394
61.0,0.0,1.0,71716203.59941411
62.0,0.0,0.0,71731019.49524719
63.0,0.0,0.0,71730712.05778353
64.0,0.0,0.0,71731883.72960335
65.0,0.0,1.0,71731235.51147623
66.0,0.0,1.0,71732209.3771851
67.0,0.0,1.0,71732369.43369056
68.0,0.0,1.0,71731948.21592063
69.0,0.0,0.0,71731959.62955822
70.0,0.0,1.0,71731064.84898937
71.0,0.0,0.0,71731584.86137605
72.0,0.0,1.0,71732394.11516373
73.0,0.0,0.0,71732245.74808036
74.0,0.0,1.0,71731022.96081917
75.0,0.0,0.0,0.0
76.0,0.0,0.0,71732102.7645472
77.0,0.0,1.0,71732469.08396478
78.0,0.0,1.0,71732046.65194298
79.0,0.0,1.0,71731884.0149442
80.0,0.0,1.0,71731058.84509186
81.0,0.0,1.0,71732302.01034972
82.0,0.0,1.0,71730737.94864707
83.0,0.0,0.0,71732162.39314945
84.0,0.0,0.0,71732378.28888237
85.0,0.0,1.0,71731467.7608049
86.0,0.0,1.0,71731932.68516123
87.0,0.0,1.0,71730922.51487918
88.0,0.0,0.0,71732319.57707916
89.0,0.0,1.0,71732021.99427937
90.0,0.0,0.0,71732287.61069694
91.0,0.0,0.0,71732155.41348164
92.0,0.0,1.0,71732204.41702108
93.0,0.0,1.0,71732189.80904657
94.0,0.0,1.0,71731902.6409551
95.0,0.0,1.0,71732083.14330909
96.0,0.0,1.0,71731986.09408276
97.0,0.0,1.0,71729768.3614955
98.0,0.0,1.0,71732053.83837138
99.0,0.0,1.0,71731958.13609418
