time,S,RAMB,RCAS,A,B,E
0.0,10000000.0,0.0,0.0,1.2,0.0,100.0
1.0,6791251.749581463,1.01,0.0,1.4564514860381186,0.0,200.22173287569052
2.0,4779574.01885913,1.1560550863101544,0.0,1.414167287455096,0.0,300.2421752511117
3.0,3496966.8764086277,1.3273342644938764,0.0,1.3731106982136465,0.0,400.0617314055045
4.0,2661345.696449716,1.5273391280088922,0.0,1.333246077938736,0.0,499.6808048076828
5.0,2104930.283121825,2.7703131818298896,0.0,1.2945388209789104,0.0,599.0997981167319
6.0,1727346.7880277063,3.196775302304754,0.0,1.2569553263658453,0.0,698.3191131801934
7.0,1467662.8498114776,3.692371421033522,0.0,1.2204629686460424,0.0,797.3391510363238
8.0,1288225.2862069954,4.2679834327120485,0.0,1.185030069559348,0.0,896.1603119148315
9.0,1165359.7155111195,4.936277164798447,0.0,1.1506258705397117,0.0,994.7829952567632
10.0,1083974.8992095862,5.71196412569228,0.0,1.1172205060143112,0.0,1093.2075997098652
11.0,1034389.0698473384,6.61210809299911,0.0,1.0847849774778684,0.0,1191.4345231080592
12.0,1010434.4946253068,7.656480428584453,0.0,1.0532911283196456,0.0,1289.4641624857425
13.0,1008309.850579234,8.867969129072678,0.0,1.0227116193812762,0.0,1387.2969140794519
14.0,1025879.303693146,10.273047298122124,0.0,0.993019905224207,0.0,1484.933173329552
15.0,1062245.0289944306,11.902307157308044,0.0,0.964190211086152,0.0,1582.373334881922
16.0,1117492.0266789293,13.791065803141674,0.0,0.9361975105065555,0.0,1679.6177925896175
17.0,1192545.4023204127,15.980048562041713,0.0,0.90901750360164,0.0,1776.6669395145204
18.0,1289104.3513801075,18.51615481104669,0.0,0.8826265959701797,0.0,1873.5211679289685
19.0,1409631.3514349689,21.45330925443052,0.0,0.8570018782116895,0.0,1970.1808693173648
20.0,1557383.6290643283,24.853398507133736,0.0,0.8321211060392493,0.0,2066.646434377785
21.0,1736479.1199737303,28.787287939981336,0.0,0.8079626809696984,0.0,2162.918253023571
22.0,1951992.1505430727,33.33590644003819,0.0,0.7845056315744396,0.0,2258.9967143849126
23.0,2210075.620611807,38.591376204417806,0.0,0.761729595274577,0.0,2354.8822068104187
24.0,862657.6988262995,43.659351960518634,0.0,1.911729595274577,0.0,2450.5751179967956
25.0,354412.81106661516,49.57998164438573,0.0,1.8562276066271393,0.0,2546.07583460601
26.0,154161.50909615323,56.4632010302265,0.0,1.8023369707313848,0.0,2641.384742651417
27.0,71134.33666741975,64.45125374369795,0.0,1.750010906242111,0.0,2736.502227371076
28.0,34829.71955018035,73.71537692134618,0.0,1.6992039899861582,0.0,2831.428673229296
29.0,18086.45623117254,84.45703700526212,0.0,1.6498721175314937,0.0,2926.1644639181536
30.0,9949.894154128446,96.91137341609327,0.0,1.6019724649010676,0.0,3020.7099823590347
31.0,5790.198922716752,111.35200133877422,0.0,1.555463451398205,0.0,3115.065610704139
32.0,3557.790454478311,128.09692006638295,0.0,1.5103047035112644,0.0,3209.2317303379937
33.0,2303.351163465658,147.5155144671855,0.0,1.4664570198662275,0.0,3303.208721878916
34.0,1567.533756731365,170.03674578470222,0.0,1.4238823371967986,0.0,3396.9969651804504
35.0,1118.5632113805673,196.1586881970491,0.0,1.3825436973024712,0.0,3490.596839332726
36.0,834.7354024339644,226.4596114133573,0.0,1.3424052149658794,0.0,3584.00872266368
