time,S,RAMB,RCAS,A,B,E
0.0,10000000.0,0.0,0.0,0.0,6.0,100.0
1.0,8581643.739947984,0.0,0.0,0.0,5.402763237094199,200.2217328780875
2.0,7432790.457987539,0.0,0.0,0.0,4.86497509934943,300.242175256488
3.0,6504565.975282523,0.0,0.0,0.0,4.380718102690633,400.0617314143758
4.0,5756571.136494794,0.0,0.0,0.0,3.9446637862149996,499.68080481929763
5.0,5155974.205230659,0.0,0.0,0.0,3.5520140811432013,599.0997981286944
6.0,4676444.138532342,0.0,1.01,0.0,3.1984485158735696,698.3191131917037
7.0,4297102.026722981,0.0,1.2120548006624774,0.0,2.8800766762167034,797.3391510378383
8.0,4001578.376001163,0.0,1.4580998045843685,0.0,2.593395397712676,896.1603119122233
9.0,3777210.853920762,0.0,1.7578502736503154,0.0,2.335250219001889,994.7829952474747
10.0,3614386.862563992,0.0,2.1231726451070005,0.0,2.102800672106597,1093.207599700012
11.0,3506021.4114007866,0.0,2.5685506972565824,0.0,1.8934890276990821,1191.4345231050406
12.0,3447154.720978032,0.0,3.1116477205173774,0.0,1.7050121514489731,1289.4641624971998
13.0,3434653.058757208,0.0,3.773982094355099,0.0,1.5352961617745662,1387.2969141125604
14.0,3466997.647572274,0.0,4.581735642925185,0.0,1.382473610147909,1484.933173390648
15.0,3544148.7857788294,0.0,5.5667157674459125,0.0,1.2448629328600032,1582.3733349763784
16.0,3667474.7868116735,0.0,6.767493162236408,0.0,1.1209499481462146,1679.6177927218673
17.0,3839737.5613794825,0.0,8.230736265008986,0.0,1.0093711950778361,1776.6669396881487
18.0,4065128.382501794,0.0,10.012760500672506,0.0,0.908898930891395,1873.5211681468265
19.0,4349348.4177634865,0.0,12.181303458144386,0.0,0.8184276216757082,1970.1808695816965
20.0,4699728.8120631045,0.0,14.817524447500684,0.0,0.7369617777686591,2066.6464346903235
21.0,5125384.242207966,0.0,18.018205799112195,0.0,0.6636050000120159,2162.9182533856315
22.0,5637391.655778325,0.0,21.89810040044151,0.0,0.5975501163361358,2258.996714797461
23.0,6248981.98416136,1.01,26.59232119167676,0.0,0.5380703001437059,2354.8822072741364
24.0,5220924.993810061,0.0,31.12867201215437,0.0,6.538070300143706,2450.575118377258
25.0,4402156.092327951,0.0,36.63311072237916,0.0,5.887274309858974,2546.075834894587
26.0,3749801.069058778,0.0,43.31536512301228,0.0,5.30125820133253,2641.384742840508
27.0,3229658.62341601,0.0,51.43269702814788,0.0,4.773573820083918,2736.5022274670046
28.0,2814714.8499757075,0.0,61.30066223720397,0.0,4.298414857450784,2831.4286732376354
29.0,2483782.1892122743,0.0,73.30631683656202,0.0,3.870552961602433,2926.1644638439634
30.0,2220329.8179764417,0.0,87.92442264604549,0.0,3.485280208028616,3020.709982207058
31.0,2011517.7962254141,0.0,105.73732519663558,0.0,3.1383572964848376,3115.06561047902
32.0,1847420.4928325247,0.0,127.4593244772931,0.0,2.8259669043857696,3209.2317300445006
33.0,1720414.0604897914,0.0,153.96653601612763,0.0,2.544671683376722,3303.2087215222214
34.0,1624700.5526699394,0.0,186.33345310408953,0.0,2.291376436903727,3396.996964766506
35.0,1555943.2409946518,0.0,225.8776760376932,0.0,2.0632940626078917,3490.5968388687993
36.0,1510991.3260739807,0.0,274.2145774773841,0.0,1.857914884795442,3584.0087221592007
37.0,1487676.2498951545,0.0,333.3240305651725,0.0,1.6729790395371529,3677.2329922079743
38.0,1484665.602747809,0.0,405.6317438510514,0.0,1.5064516085400819,3770.270025827077
39.0,1501363.9313308923,0.0,494.1082279363403,0.0,1.3565002281802958,3863.1201990716745
40.0,1537852.544196461,0.0,602.3889629225073,0.0,1.2214749273203989,3955.7838872416614
41.0,1594862.7094264377,0.0,734.9199365312695,0.0,1.0998899720598265,4048.2614648831686
42.0,1673778.5114395162,0.0,897.1333624728909,0.0,0.9904075176488993,4140.553305790084
43.0,1776667.1440790554,0.0,1095.6590322279899,0.0,0.8918228876825328,4232.65978300555
44.0,1906335.6155091415,0.0,1338.577339021632,0.0,0.8030513185950627,4324.581268823477
45.0,2066413.7518720373,0.0,1635.720438354583,0.0,0.7231160236009042,4416.318134790042
46.0,2261464.0032010498,0.0,1999.0281141269786,0.0,0.6511374447441176,4507.870751705196
47.0,2497118.8273078487,0.0,2442.9644582977107,0.0,0.5863235747931622,4599.239489624145
48.0,2069652.4278591757,0.0,2873.3999475555815,0.0,6.5863235747931625,4690.424717848959
49.0,1733440.479744714,0.0,3395.0882312663452,0.0,5.9307244795832235,4781.426804950776
50.0,1468231.1895565577,0.0,4027.971719109095,0.0,5.3403833646044765,4872.246118762493
51.0,1258455.3374069035,0.0,4796.513374159854,0.0,4.808804485712415,4962.883026385682
52.0,1092163.8757381528,0.0,5730.726022561929,0.0,4.3301386816301175,5053.337894173738
53.0,960193.418551713,0.0,6867.437704210717,0.0,3.8991190134384563,5143.611087744362
54.0,855519.8627866767,1.01,8251.84693018199,0.0,3.5110028104767155,5233.702971981016
55.0,772762.5790035116,0.0,9939.433841504573,0.0,3.161519484963001,5323.613911034377
56.0,707806.7640655607,0.0,11998.30823761062,0.0,2.846823541119181,5413.344268323795
57.0,657517.4066831302,0.0,14512.093207650832,0.0,2.5634522617421727,5502.894406538762
58.0,619523.7694480021,0.0,17583.46567443537,0.0,2.3082876066310973,5592.264687640355
